Institut,Count,Adresse,Homepage,lat,lon
TH Köln / Fakultät für Informatik und Ingenieurwissenschaften / Institut für Informatik (INF) (Johann Schaible),3,"Campus Gummersbach
Steinmüllerallee 1
51643 Gummersbach",https://www.th-koeln.de/informatik-und-ingenieurwissenschaften/institut-fuer-informatik_29538.php,51.02305955,7.561739417163916
Cerence GmbH,3,"Cerence GmbH
Jülicher Str. 376
52070 Aachen",https://www.cerence.com/,50.7907706,6.1192128
Rheinische Friedrich-Wilhelms-Universität Bonn / Mathematisch-Naturwissenschaftliche Fakultät / Fachgruppe Informatik /Institut für Informatik / Informatik III /Data Science & Intelligent Systems (DSIS) research group (Prof. Dr. Elena Demidova),9,"Institut für Informatik III
Friedrich-Hirzebruch-Allee 8
53115 Bonn",https://www.iai.uni-bonn.de/en/research-groups/dsis,50.7274522,7.0853098
Rheinische Friedrich-Wilhelms-Universität Bonn / Behavioral Security (BeSec) research group (Matthew Smith),2,"Rheinische Friedrich-Wilhelms-Universität Bonn
Institut für Informatik
Friedrich-Hirzebruch-Allee 8
53115 Bonn",https://www.besec.uni-bonn.de/,50.7274522,7.0853098
Rheinische Friedrich-Wilhelms-Universität Bonn / Mathematisch-Naturwissenschaftliche Fakultät / Institut für Informatik,7,"Rheinische Friedrich-Wilhelms-Universität Bonn
Institut für Informatik
Friedrich-Hirzebruch-Allee 8
53115 Bonn",https://www.informatik.uni-bonn.de/de/institut,50.7274522,7.0853098
Philipps-Universität Marburg / Fachbereich 12: Mathematik und Informatik / Conversational AI and Social Analytics (CAISA Lab) / und Bonn-Aachen International Center for Information Technology (b-it) ,2,"CAISA Lab
B-it center
Friedrich-Hirzebruch-Allee 6
53115 Bonn 

FB 12 Mathematik und Informatik
Hans-Meerwein-Straße 6
35043 Marburg ",https://caisa-lab.github.io/,50.8094125,8.8106344
"Fraunhofer-Institut für Kommunikation, Informationsverarbeitung und Ergonomie (FKIE)",2,"Fraunhofer FKIE Standort Wachtberg
Fraunhoferstraße 20
53343 Wachtberg",https://www.fkie.fraunhofer.de/,50.6175722,7.131771183841298
Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme (IAIS),7,"Hauptstandort Sankt Augustin
Schloss Birlinghoven 1
53757 Sankt Augustin",https://www.iais.fraunhofer.de/,50.74898935,7.205566420238791
Universität Trier / Fachbereich IV -  Informatik / Datenbanken und Informationssysteme,5,"Fachbereich IV
Universität Trier
Campus I - Gebäude C, 3. OG
Universitätsring 15
54296 Trier",https://www.uni-trier.de/universitaet/fachbereiche-faecher/fachbereich-iv/faecher,49.74606765,6.687187163726325
Elsevier Information Systems GmbH,6,"Elsevier Information Systems GmbH
Franklinstr. 61 - 63
60486 Frankfurt",https://www.elsevier.com/de-de,50.1154181,8.6378426
Fraunhofer-Institut für Sichere Informationstechnologie (SIT) | ATHENE - National Research Center for Applied Cybersecurity,2,"National Research Center for Applied Cybersecurity ATHENE
c/o Fraunhofer Institute for Secure Information Technology SIT
Rheinstraße 75
64295 Darmstadt",https://www.athene-center.de/,49.8716825,8.638311252630254
Fraunhofer-Institut für Sichere Informationstechnologie (SIT),2,"Fraunhofer-Institut für Sichere Informationstechnologie
Rheinstraße 75
64295 Darmstadt",https://www.sit.fraunhofer.de/,49.8716825,8.638311252630254
"Hochschule Darmstadt / Fachbereich Media / 
Mediencampus der Hochschule Darmstadt",2,"Studiengang Information Science
Mediencampus der Hochschule Darmstadt
Max-Planck-Straße 2
64807 Dieburg",https://sis.h-da.de/,49.9022212,8.8554721
"htw saar - Hochschule für Technik und Wirtschaft
des Saarlandes / Fakultät für Ingenieurwissenschaften / Softwarelabor (SWL)",2,"htw saar
Goebenstraße 40
66117 Saarbrücken",https://www.htwsaar.de/ingwi,49.2357643,6.9753283
Max-Planck-Institut für Informatik / Department 5: Databases and Information Systems,17,"Campus E1 4, Room 401
Saarland Informatics Campus
66123 Saarbrücken",https://www.mpi-inf.mpg.de/departments/databases-and-information-systems,49.2569205,7.041952658755758
CISPA – Helmholtz-Zentrum für Informationssicherheit gGmbH ,2,"Stuhlsatzenhaus 5
66123 Saarbrücken",https://cispa.de/de/research/groups/zhang,49.2594976,7.0516702
Max-Planck-Institut für Informatik ,15,"Max-Planck-Institut für Informatik
Saarland Informatik Campus
Gebäude E1 4
66123 Saarbrücken",https://www.mpi-inf.mpg.de/de/home,,
Max Planck Institute for Software Systems (MPI-SWS),4,"MPI-SWS
Campus E1 5
D-66123 Saarbrücken

Paul-Ehrlich-Strasse, Building G 26
67663 Kaiserslautern ",https://www.mpi-sws.org/,,
Universität Mannheim / Fakultät für Wirtschaftsinformatik und Wirtschaftsmathematik  / Institut für Informatik und Wirtschaftsinformatik / Data and Web Science Group,11,"Universität Mannheim
Data and Web Science Group
School of Business Informatics and Mathematics
B 6, 26
68159 Mannheim",https://www.uni-mannheim.de/dws/,,
Universität Heidelberg /Fakultät für Mathematik und Informatik / Institut für Informatik / Database Systems Research Group,3,"Database Systems Research Group
Institute of Computer Science
Im Neuenheimer Feld 205
69120 Heidelberg",https://dbs.ifi.uni-heidelberg.de/,49.4177249,8.6757082
SAP Deutschland SE & Co. KG,3,"SAP Deutschland SE & Co. KG
Hasso-Plattner-Ring 7
69190 Walldorf",https://www.sap.com/germany/index.html,49.29395475,8.640563548000646
"Universität Stuttgart / Fakultät 5: Informatik, Elektrotechnik 
und Informationstechnik / Institut für Parallele und Verteilte Systeme (IPVS)  ",3,"Universität Stuttgart
IPVS
Universitätsstraße 38
70569 Stuttgart",https://www.ipvs.uni-stuttgart.de/de/,48.7451483,9.1064136
Hochschule der Medien Stuttgart / Fakultät Information und Kommunikation / Informationsdesign (Yvonne Kammerer),4,"Hochschule der Medien
Nobelstraße 10
70569 Stuttgart ",https://informationsdesign.hdm-stuttgart.de/,48.74163675,9.100871218642006
"Bosch Center for Artificial Intelligence, Renningen",10,"Robert Bosch GmbH
Robert-Bosch-Campus 1
71272 Renningen",https://www.bosch-ai.com/,48.7875837,8.919792022789261
Leibniz-Insitut für Wissensmedien (IWM) Tübingen / AG Multimodale Interaktion  (Prof. Dr. Gerjets),4,"Stiftung Medien in der Bildung (SbR)
Leibniz-Institut für Wissensmedien
Schleichstraße 6
72076 Tübingen",https://www.iwm-tuebingen.de/www/forschung/forschungsbereiche/AG1_Gerjets/index.html,48.5246575,9.0547112
Leibniz-Insitut für Wissensmedien (IWM) Tübingen / AG Wissenskonstruktion,2,"Stiftung Medien in der Bildung (SbR)
Leibniz-Institut für Wissensmedien
Schleichstraße 6
72076 Tübingen",https://www.iwm-tuebingen.de/www/de/forschung/forschungsbereiche/AG5_Cress/index.html,48.5246575,9.0547112
Karlsruher Institut für Technologie (KIT) / Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) / FG Information Service Engineering,4,"Karlsruher Institut für Technologie
Institut AIFB
KIT-Campus Süd
Kollegiengebäude am Kronenplatz (Geb. 05.20)
Kaiserstr. 89
76133 Karlsruhe ",https://www.aifb.kit.edu/web/Information_Service_Engineering,49.0089892,8.409759750000001
Karlsruher Institut für Technologie (KIT) / Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) / FG Web Science,8,"Karlsruher Institut für Technologie
Institut AIFB
KIT-Campus Süd
Kollegiengebäude am Kronenplatz (Geb. 05.20)
Kaiserstr. 89
76133 Karlsruhe",https://www.aifb.kit.edu/web/Web_Science,49.0089892,8.409759750000001
FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur / Bereich Information Service Engineering,6,"FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur
Hermann-von-Helmholtz-Platz 1
76344 Eggenstein-Leopoldshafen",https://www.fiz-karlsruhe.de/de/forschung/information-service-engineering,49.0981823,8.4327136
"FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur 
GmbH / Abteilung Patents4Science",2,"FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur
Hermann-von-Helmholtz-Platz 1
76344 Eggenstein-Leopoldshafen",https://www.fiz-karlsruhe.de/de/forschung/patents4science,49.0981823,8.4327136
"Universität Konstanz / Fachbereich Mathematik und 
Naturwissenschaften /  Informatik und Informationswissenschaft 
/ Data and Information Mining Lab ",2,"Universität Konstanz
Fachbereich Informatik und Informationswissenschaft
Fach 188
78457 Konstanz",https://www.dim.uni-konstanz.de/,,
Albert-Ludwigs-Universität Freiburg / Technische Fakultät / Institut für Informatik,4,"Institut für Informatik
Albert-Ludwigs-Universität Freiburg
Georges-Köhler-Allee 106
79110 Freiburg",https://www.informatik.uni-freiburg.de/,48.0146166,7.833540550000003
Siemens AG,5,"Siemens Aktiengesellschaft
Werner-von-Siemens-Straße 1
80333 München",https://www.siemens.com/de/de.html,48.1443067,11.5749408
Technische Universität München / TUM School of Social Sciences and Technology / Lehrstuhl für Responsible Data Science,2,"Arcisstraße 21
80333 München",https://www.gov.sot.tum.de/rds/startseite/,48.14907275,11.567444920339295
"Ludwig-Maximilians-Universität München / Fakultät für Mathematik, Informatik und Statistik / Institut für Informatik / Lehrstuhl für Datenbanksysteme und Data Mining",7,"Ludwig-Maximilians-Universität München
Institut für Informatik
Lehrstuhl für Datenbanksysteme und Data Mining
Oettingenstraße 67
80538 München",https://www.dbs.ifi.lmu.de/cms/,48.1500233,11.5942831
Ludwig-Maximilians-Universität München / LMU Munich School of Management / Institute of Artificial Intelligence(AI) in Management (Stefan Feuerriegel),3,"Institute of AI in Management
LMU Munich School of Management
Ludwigstr. 28 
80539 München",https://www.som.lmu.de/ai/en/index.html,48.151305550000004,11.582876963652915
Universität der Bundeswehr München / Fakultät für Informatik / Forschungsinstitut Cyber Defence (CODE) / Institut für Datensicherheit,2,"Universität der Bundeswehr München
Institut für Datensicherheit
Werner-Heisenberg-Weg 39
85577 Neubiberg",https://www.unibw.de/datensicherheit,,
Symanto Research GmbH & Co. KG,7,"Hugo-Junkers-Str. 13
90411 Nürnberg",https://www.symanto.com/de/,49.485988,11.095679241622502
"Technology Innovation Unit, Datev eG",2,"Fürther Str. 232​
90429 Nürnberg",https://www.datev.de/web/de/startseite/startseite-n/,49.4527699,11.0494657
"Universität Regensburg / Fakultät für Sprach-, Literatur- und Kulturwissenschaften / Institut für Information und Medien, Sprache und Kultur (I:IMSK) / Lehrstuhl für Informationswissenschaft",14,"Universität Regensburg
Universitätsstraße 31
93053 Regensburg",https://www.uni-regensburg.de/sprache-literatur-kultur/information-medien-sprache-kultur/institut/index.html,48.9982876,12.0934595
"Universität Regensburg / Fakultät für Sprach-, Literatur- und Kulturwissenschaften / Institut für Information und Medien, Sprache und Kultur (I:IMSK) / Lehrstuhl für Medieninformatik",2,"Universität Regensburg
Universitätsstraße 31
93053 Regensburg",https://www.uni-regensburg.de/sprache-literatur-kultur/medieninformatik/medieninformatik/index.html,48.9982876,12.0934595
Universität Passau / Fakultät für Informatik und Mathematik / Lehrstuhl für Informatik mit Schwerpunkt Verteilte Informationssysteme,2,"Universität Passau
Innstraße 41
94032 Passau",https://www.fim.uni-passau.de/verteilte-informationssysteme/,48.5663996,13.449608233070988
Universität  Passau / Fakultät für Informatik und Mathematik / Lehrstuhl für Data Science,4,"Universität Passau
Fakultät für Informatik und Mathematik
Innstraße 33
94032 Passau",https://www.fim.uni-passau.de/data-science,48.566873,13.4517432
Otto-Friedrich-Universität Bamberg / Fakultät Wirtschaftsinformatik und Angewandte Informatik / Lehrstuhl für Medieninformatik (Andreas Henrich),1 + ,"Otto-Friedrich-Universität Bamberg
Fakultät für Wirtschaftsinformatik und Angewandte Informatik
Lehrstuhl für Medieninformatik
96045 Bamberg",https://www.uni-bamberg.de/minf/,,
Julius-Maximilians-Universität Würzburg / Fakultät für Mathematik und Informatik / Institut für Informatik /  Machine Learning for Complex Networks / Center for Artificial Intelligence and Data Science (CAIDAS),4,"Center for Artificial Intelligence and Data Science (CAIDAS)
Am Hubland
97074 Würzburg",https://www.uni-wuerzburg.de/caidas/home/,49.7823563,9.9667972
Bauhaus-Universität Weimar / Fakultät Medien / Fachbereich Medieninformatik / Webis Group,35,"Webis Group
Bauhaus-Universität Weimar
Faculty of Media
Schwanseestraße 143
99423 Weimar",https://www.uni-weimar.de/en/media/chairs/computer-science-department/webis/home/,50.9825628,11.3242237
