Land,title,doi,acronym,year,num_authors,orcid,name,affiliation,affiliation_clean,Fakultät,Institut / Lehrstuhl / Fachbereich / Ptrofessur,c_aff,AG / Bereich,Adresse,Homepage,Notiz,2_affiliation_clean,2_Fakultät,2_Institut / Lehrstuhl / Fachbereich / Ptrofessur,2_AG / Bereich,2_Adresse,2_Homepage,2_Notiz
Germany,HierClasSArt: Knowledge-Aware Hierarchical Classification of Scholarly Articles,10.1145/3442442.3451365,WWW,2021,7,,Russa Biswas,"FIZ-Karlsruhe, Leibniz Institute for Information InFIZ-Karlsruhe, Leibniz Institute for Information Infrastructure, Karlsruhe Institute for Technologyfrastructure, Karlsruhe Institute for Technology, Germany",FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur  GmbH,,,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure; Karlsruhe Institute of Technology, Germany",Bereich Information Service Engineering,FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur Hermann-von-Helmholtz-Platz 1 76344 Eggenstein-Leopoldshafen,https://www.fiz-karlsruhe.de/de/forschung/information-service-engineering,,Karlsruher Institut für Technologie (KIT) / Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) / FG Information Service Engineering,,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB),FG Information Service Engineering,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) Karlsruher Institut für Technologie (KIT) Kaiserstr. 89 76133 Karlsruhe,https://www.aifb.kit.edu/web/Information_Service_Engineering,
Germany,HierClasSArt: Knowledge-Aware Hierarchical Classification of Scholarly Articles,10.1145/3442442.3451365,WWW,2021,7,,Danilo Dessì,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure, Karlsruhe Institute for Technology, Germany",FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur  GmbH,,,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure; Karlsruhe Institute of Technology, Germany",Bereich Information Service Engineering,FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur Hermann-von-Helmholtz-Platz 1 76344 Eggenstein-Leopoldshafen,https://www.fiz-karlsruhe.de/de/forschung/information-service-engineering,,Karlsruher Institut für Technologie (KIT) / Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) / FG Information Service Engineering,,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB),FG Information Service Engineering,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) Karlsruher Institut für Technologie (KIT) Kaiserstr. 89 76133 Karlsruhe,https://www.aifb.kit.edu/web/Information_Service_Engineering,
Germany,HierClasSArt: Knowledge-Aware Hierarchical Classification of Scholarly Articles,10.1145/3442442.3451365,WWW,2021,7,,Fabian Hoppe,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure, Karlsruhe Institute for Technology, Germany",FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur  GmbH,,,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure; Karlsruhe Institute of Technology, Germany",Bereich Information Service Engineering,FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur Hermann-von-Helmholtz-Platz 1 76344 Eggenstein-Leopoldshafen,https://www.fiz-karlsruhe.de/de/forschung/information-service-engineering,,Karlsruher Institut für Technologie (KIT) / Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) / FG Information Service Engineering,,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB),FG Information Service Engineering,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) Karlsruher Institut für Technologie (KIT) Kaiserstr. 89 76133 Karlsruhe,https://www.aifb.kit.edu/web/Information_Service_Engineering,
Germany,HierClasSArt: Knowledge-Aware Hierarchical Classification of Scholarly Articles,10.1145/3442442.3451365,WWW,2021,7,,Genet Asefa Gesese,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure, Karlsruhe Institute for Technology, Germany",FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur  GmbH,,,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure; Karlsruhe Institute of Technology, Germany",Bereich Information Service Engineering,FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur Hermann-von-Helmholtz-Platz 1 76344 Eggenstein-Leopoldshafen,https://www.fiz-karlsruhe.de/de/forschung/information-service-engineering,,Karlsruher Institut für Technologie (KIT) / Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) / FG Information Service Engineering,,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB),FG Information Service Engineering,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) Karlsruher Institut für Technologie (KIT) Kaiserstr. 89 76133 Karlsruhe,https://www.aifb.kit.edu/web/Information_Service_Engineering,
Germany,HierClasSArt: Knowledge-Aware Hierarchical Classification of Scholarly Articles,10.1145/3442442.3451365,WWW,2021,7,,Harald Sack,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure, Karlsruhe Institute for Technology, Germany",FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur  GmbH,,,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure; Karlsruhe Institute of Technology, Germany",Bereich Information Service Engineering,FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur Hermann-von-Helmholtz-Platz 1 76344 Eggenstein-Leopoldshafen,https://www.fiz-karlsruhe.de/de/forschung/information-service-engineering,,Karlsruher Institut für Technologie (KIT) / Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) / FG Information Service Engineering,,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB),FG Information Service Engineering,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) Karlsruher Institut für Technologie (KIT) Kaiserstr. 89 76133 Karlsruhe,https://www.aifb.kit.edu/web/Information_Service_Engineering,
Germany,HierClasSArt: Knowledge-Aware Hierarchical Classification of Scholarly Articles,10.1145/3442442.3451365,WWW,2021,7,,Mehwish Alam,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure, Karlsruhe Institute for Technology, Germany",FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur  GmbH,,,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure; Karlsruhe Institute of Technology, Germany",Bereich Information Service Engineering,FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur Hermann-von-Helmholtz-Platz 1 76344 Eggenstein-Leopoldshafen,https://www.fiz-karlsruhe.de/de/forschung/information-service-engineering,,Karlsruher Institut für Technologie (KIT) / Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) / FG Information Service Engineering,,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB),FG Information Service Engineering,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) Karlsruher Institut für Technologie (KIT) Kaiserstr. 89 76133 Karlsruhe,https://www.aifb.kit.edu/web/Information_Service_Engineering,
Germany,HierClasSArt: Knowledge-Aware Hierarchical Classification of Scholarly Articles,10.1145/3442442.3451365,WWW,2021,7,,Yiyi Chen,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure, Karlsruhe Institute for Technology, Germany",FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur  GmbH,,,"FIZ-Karlsruhe, Leibniz Institute for Information Infrastructure; Karlsruhe Institute of Technology, Germany",Bereich Information Service Engineering,FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur Hermann-von-Helmholtz-Platz 1 76344 Eggenstein-Leopoldshafen,https://www.fiz-karlsruhe.de/de/forschung/information-service-engineering,,Karlsruher Institut für Technologie (KIT) / Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) / FG Information Service Engineering,,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB),FG Information Service Engineering,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB) Karlsruher Institut für Technologie (KIT) Kaiserstr. 89 76133 Karlsruhe,https://www.aifb.kit.edu/web/Information_Service_Engineering,
Germany,Controllable Multi-Character Psychology-Oriented Story Generation,10.1145/3340531.3411937,CIKM,2020,7,,Volker Tresp,"Siemens Corporate Technology &amp; Ludwig Maximilian University, Munich, Germany",Siemens AG,,,"Siemens Corporate Technology; Ludwig Maximilian University, Munich, Germany",,Werner-von-Siemens-Straße 1 80333 München,https://www.siemens.com/de/de.html,,LMU München,"Fakultät für Mathematik, Informatik und statistik",Institut für Informatik,Lehrstuhl für Datenbanksysteme und data mining,"Ludwig-Maximilians-Universität München Institut für Informatik Lehrstuhl für Datenbanksysteme und Data Mining Oettingenstraße 67 80538 München, Germany",https://www.dbs.ifi.lmu.de/cms/index.html,
Germany,Weaving Text into Tables,10.1145/3340531.3417442,CIKM,2020,2,,Klaus Berberich,"Max Planck Institute for Informatics &amp; Saarbruecken University of Applied Sciences (htw saar), Saarbruecken, Germany",htw saar,Ingenieurwissenschaften,Datenbanken & Informationssysteme,"Max Planck Institute for Informatics, Germany; Saarbruecken University of Applied Sciences (htw saar), Germany",Softwarelabor (SWL),Fakultät für Ingenieurwissenschaften htw saar - Hochschule für Technik und Wirtschaft des Saarlandes Goebenstraße 40 66117 Saarbrücken,https://www.htwsaar.de/ingwi,,Max Planck Institute,,,Databases and Information Systems,Max Planck Institute for Informatics  Saarland Informatics Campus  Building E1 4  66123 Saarbrücken Germany,https://www.mpi-inf.mpg.de/departments/databases-and-information-systems,
Germany,The Infinite Index: Information Retrieval on Generative Text-To-Image Models,10.1145/3576840.3578327,CHIIR,2023,7,http://orcid.org/0000-0003-2451-0665,Martin Potthast,"Leipzig University, Germany and Center for Scalable Data Analytics and Artificial Intelligence, ScaDS.AI, Germany",Universität Leipzig,Fakultät für Mathematik und Informatik,Lehrstuhl Text Mining und Retrieval,"Leipzig University, Germany; Center for Scalable Data Analytics and Artificial Intelligence, ScaDS.AI, Germany",Webis Group,Institut für Informatik Universität Leipzig Augustusplatz 10 04109 Leipzig,https://www.mathcs.uni-leipzig.de/ifi/forschung,,ScaDS.AI,,,,"Löhrs Carré Humboldtstraße 25, 3. Obergeschoss 04105 Leipzig",https://scads.ai/,
