Id,Label,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Cluster,KatzCentrality,eigencentrality,Authority,Hub
Alberto Barrón-Cedeño,Alberto Barrón-Cedeño,0.001157,0.01059,0.000012,12,16,13,0.151697,0.258308,0.001157,2,0,0.09991,0,0
Rubén Míguez,Rubén Míguez,0,28,0,1,4,13,0.149166,0.215544,0,2,0,0.032071,0,0
Shaden Shaar,Shaden Shaar,0,28,0,1,4,13,0.149166,0.215544,0,2,0,0.032071,0,0
Firoj Alam,Firoj Alam,0,4.2,0,2,5,13,0.150049,0.224316,0,2,0,0.049053,0,0
Fatima Haouari,Fatima Haouari,0,4.2,0,2,3,13,0.150049,0.224316,0,2,0,0.049053,0,0
Maram Hasanain,Maram Hasanain,0,28,0,1,2,13,0.149166,0.215544,0,2,0,0.032071,0,0
Watheq Mansour,Watheq Mansour,0,28,0,1,1,13,0.149166,0.215544,0,2,0,0.032071,0,0
Bayan Hamdan,Bayan Hamdan,0,28,0,1,1,13,0.149166,0.215544,0,2,0,0.032071,0,0
Zien Sheikh Ali,Zien Sheikh Ali,0,28,0,1,1,13,0.149166,0.215544,0,2,0,0.032071,0,0
Nikolay Babulkov,Nikolay Babulkov,0,28,0,1,4,13,0.149166,0.215544,0,2,0,0.032071,0,0
Alex Nikolov,Alex Nikolov,0,28,0,1,4,13,0.149166,0.215544,0,2,0,0.032071,0,0
Gautam Kishore Shahi,Gautam Kishore Shahi,0,28,0,1,4,13,0.149166,0.215544,0,2,0,0.032071,0,0
Julia Maria Struß,Julia Maria Struß,0,4.2,0,2,5,13,0.150049,0.224316,0,2,0,0.049053,0,0
Thomas Mandl,Thomas Mandl,0.00046,0.933333,0.000429,2,5,13,0.149754,0.221575,0.00046,2,0,0.034865,0,0
Mucahid Kutlu,Mucahid Kutlu,0,28,0,1,3,13,0.149166,0.215544,0,2,0,0.032071,0,0
Yavuz Selim Kartal,Yavuz Selim Kartal,0,28,0,1,3,13,0.149166,0.215544,0,2,0,0.032071,0,0
Linda Achilles,Linda Achilles,0.000231,0.333333,0.000077,2,2,14,0.130584,0.175083,0.000231,2,0,0.008234,0,0
Christa Womser-Hacker,Christa Womser-Hacker,0,2,0,1,1,15,0.115589,0.143819,0,2,0,0.002793,0,0
Giovanni da San Martino,Giovanni da San Martino,0,28,0,1,1,13,0.149166,0.215544,0,2,0,0.032071,0,0
